Name	Description_su	SRR6825935	SRR6825934	SRR6825939	SRR6825938	SRR6825941	SRR6825940	SRR6825933	SRR6825932	SRR6825926	SRR6825925	SRR6825930	SRR6825928
MED6	na	8.230397575621	8.15032163204843	8.46559953095621	8.03465495094532	7.12248172953041	6.95846243864655	8.27941264348464	7.86013789133427	7.95065834695877	7.80463223142106	8.36014545046142	7.90042329443575
MED4	na	9.60673171543817	9.44216392947616	9.57733312862199	9.56516175055929	9.62261861921366	9.36629282077372	9.071861103994	9.45500999264184	9.47513692404084	8.97625554897674	10.5104964306413	9.10182032164851
MED1	na	10.6189421010101	10.2774213225348	10.2706099603839	9.84607352960476	10.6360495000715	10.0566949485226	10.6146414941824	10.4931040581566	10.36574721333	10.3191132127324	10.7384395098543	10.5682276344329
LOC121937543	na	9.80706184745578	10.458402067375	10.2322603563351	9.62423768710653	9.68702733854542	10.3008121112805	10.8178194236685	10.1869485722361	10.8774751449173	11.0341541226785	9.01736022757812	9.31091881236356
LOC121937545	na	11.807554299783	14.1128225813554	12.6723812968971	13.0500462466083	12.4954126510144	12.5824663323488	12.9841961237704	12.8870967833094	13.5605598916107	13.7206839680324	12.4985654423286	13.0178786448482
PSMF1	na	9.80280458532109	8.97105804953894	9.49922949250651	8.70832387459256	9.89390096145723	9.02568893796779	9.77943509055007	9.0759493709564	8.95412443858632	8.65609809214527	9.62816563397984	9.61904467363572
LOC121937546	na	12.1033290899127	13.8791431434028	13.4690303265673	12.3005076370813	11.9728553870407	11.4661751163328	13.8609480295847	11.27812720688	12.664098943895	12.8311294329911	14.8955764973835	10.39973790418
LOC121915354	na	0	7.45658342860353	0	4.5617404456082	2.45914626931465	3.62160199183926	0	3.48626259538096	3.92941370892754	0	0	5.43772239631527
CNGA4	na	0	2.88362353657588	0	0	0	0	0	3.1600135786771	0	2.78578005868393	0	0
CNGA3	na	1.63768670289026	3.03166261618016	0	0	0	0	8.44080738167392	0	0	0	0	2.33131918068063
FITM1	na	7.42664095502258	7.17542792348852	5.18384390313082	9.30637853546283	6.31706821960419	6.90995279251391	5.81164120858692	7.65626495828359	7.02479851584888	6.4588975608982	8.19436936189364	7.15119783709269
LOC121926091	na	0	0	2.30090477737476	0	0	0	0	0	0	0	0	0
LOC121926099	na	3.59529367722949	4.14954687807478	5.18384390313082	3.62157022916455	0	0	4.86132170085016	5.17615073675965	4.21110950509359	4.85830235954063	0	2.81741446630924
FAM117B	na	8.27041288325092	7.77292797981289	9.49922949250651	7.30548385329874	9.67516770268279	10.4471634377279	9.12534440162904	9.51884822063325	7.95065834695877	7.22762988366874	9.18958731987424	9.32004994110467
FAM117A	na	6.97860917072992	7.33358339482256	8.75509273006058	8.85294247788365	8.42171701516303	8.40612755447279	8.28837258630046	8.99809536587183	8.13054435857178	7.94068372402681	7.70998762388295	9.11499590525792
SNAI3	na	2.23125223726809	0	0	0	4.15954208255014	4.89654718812101	0	4.34190933146514	0	0	2.72942713782117	3.18035577771658
VANGL1	na	8.08370858338894	6.88548597092689	8.7016557496516	4.87139897245763	9.65719342365092	9.19720264203159	8.60400475471719	8.24154699593183	7.04886140074148	4.78306037282121	9.23748652678607	8.47930188692438
VANGL2	na	6.77113058208783	6.97051170235563	8.16358817950882	7.04633096054905	5.20911402494987	7.31579500612026	7.90722342738994	7.86716235965716	6.41482917201686	8.32581479500654	6.28483995536315	8.13580877763598
LOC121916712	na	12.004842636702	8.86401125863885	9.37031683418991	8.77687619174176	11.6015381749113	10.488012788404	10.3015987225366	9.79045028858889	10.2895338314491	8.76764536651024	11.4936581621704	9.72767743644877
ZNF706	na	11.6534223715609	11.9051569539887	11.6044031744254	11.8634057127599	11.4647075232679	11.1260427823937	11.8077151281169	11.7079313542467	12.2864570095093	12.0733291668608	12.1384046932155	11.7095621780777
ZNF704	na	7.92039879991238	5.58654266729433	6.08258209775227	6.17478312056987	6.41539708595932	5.79408277886549	6.63979974471827	5.76289516358273	7.08421953679355	5.67572630026205	8.28398837291557	7.06692393646941
